what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1505677914830
stopped,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.300.v201101042155,"org.eclipse.rse.subsystems.processes.shell.linux",1505677914831
stopped,bundle,org.eclipse.rse.subsystems.processes.core,3.1.200.v201101042155,"org.eclipse.rse.subsystems.processes.core",1505677914831
stopped,bundle,org.eclipse.rse.terminals.ui,1.1.0.v201101042155,"org.eclipse.rse.terminals.ui",1505677914832
stopped,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1505677914833
stopped,bundle,org.python.pydev.jython,2.8.2.2013090511,"org.python.pydev.jython",1505677914834
stopped,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1505677914837
stopped,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1505677914837
stopped,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1505677914837
stopped,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1505677914837
stopped,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1505677914839
stopped,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1505677914840
stopped,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1505677914841
stopped,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1505677914841
stopped,bundle,org.eclipse.rse.services.dstore,3.1.201.R33x_v201106291530,"org.eclipse.rse.services.dstore",1505677914841
stopped,bundle,org.eclipse.dstore.core,3.3.1.R33x_v201107181530,"org.eclipse.dstore.core",1505677914842
stopped,bundle,org.eclipse.dstore.extra,2.1.300.v201101042155,"org.eclipse.dstore.extra",1505677914842
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1505677914844
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1505677914845
activated,perspective,org.python.pydev,,"org.python.pydev.ui.PythonPerspective",1505677954943
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1505677954944
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1505677954944
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1505677954944
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1505677954944
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1505677954944
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1505677954944
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1505677954944
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1505677954944
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1505677954944
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1505677954944
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1505677954944
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1505677954944
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1505677954944
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1505677954944
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1505677954944
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1505677954944
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1505677954944
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1505677954944
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1505677954944
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1505677954944
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1505677954944
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1505677954944
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1505677954944
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1505677954944
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1505677954944
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1505677954944
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1505677954944
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1505677954944
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1505677954944
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1505677954944
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1505677954944
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1505677954944
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1505677954944
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1505677954944
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1505677954944
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1505677954944
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1505677954944
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1505677954944
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1505677954944
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1505677954944
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1505677954944
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1505677954944
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1505677954944
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1505677954944
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1505677954944
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1505677954944
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1505677954945
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1505677954945
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1505677954945
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1505677954945
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1505677954945
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1505677954945
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1505677954945
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1505677954945
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1505677954945
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1505677954945
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1505677954945
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1505677954945
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1505677954945
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1505677954945
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1505677954945
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1505677954945
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1505677954945
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1505677954945
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1505677954945
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1505677954945
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1505677954945
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1505677954945
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1505677954967
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1505677954967
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1505677954967
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1505677954967
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1505677954967
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1505677954967
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1505677954967
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1505677954967
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1505677954967
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1505677954967
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1505677954968
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1505677954968
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1505677954968
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1505677954968
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1505677954968
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1505677954968
started,bundle,com.python.pydev,2.8.2.2013090511,"com.python.pydev",1505677954968
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1505677954968
started,bundle,com.python.pydev.codecompletion,2.8.2.2013090511,"com.python.pydev.codecompletion",1505677954968
started,bundle,com.python.pydev.refactoring,2.8.2.2013090511,"com.python.pydev.refactoring",1505677954968
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1505677954968
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1505677954976
started,bundle,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug",1505677954976
started,bundle,org.python.pydev.django,2.8.2.2013090511,"org.python.pydev.django",1505677954976
started,bundle,org.python.pydev.jython,2.8.2.2013090511,"org.python.pydev.jython",1505677954976
started,bundle,org.python.pydev.parser,2.8.2.2013090511,"org.python.pydev.parser",1505677954976
started,bundle,org.python.pydev.refactoring,2.8.2.2013090511,"org.python.pydev.refactoring",1505677954976
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1505677954976
started,bundle,org.python.pydev.shared_interactive_console,2.8.2.2013090511,"org.python.pydev.shared_interactive_console",1505677954976
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1505677954976
os,sysinfo,,,"linux",1505677955051
arch,sysinfo,,,"x86_64",1505677955058
ws,sysinfo,,,"gtk",1505677955058
locale,sysinfo,,,"en_US",1505677955058
processors,sysinfo,,,"1",1505677955100
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1505677955100
java.runtime.version,sysinfo,,,"1.6.0_36-b36",1505677955100
java.specification.name,sysinfo,,,"Java Platform API Specification",1505677955100
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1505677955100
java.specification.version,sysinfo,,,"1.6",1505677955100
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1505677955100
java.version,sysinfo,,,"1.6.0_36",1505677955100
java.vm.info,sysinfo,,,"mixed mode",1505677955100
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1505677955100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1505677955100
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1505677955100
java.vm.specification.version,sysinfo,,,"1.0",1505677955100
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1505677955100
java.vm.version,sysinfo,,,"23.25-b01",1505677955100
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1505677955685
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505677958625
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505678012847
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505678012970
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505678013072
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1505678017111
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1505678019128
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1505678019146
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505678083351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505678090527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678106014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678152659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678154275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678157815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678160413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678254811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505678269407
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505678275799
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1505678285390
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1505678286686
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1505678301791
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1505678301858
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1505678301860
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1505678301869
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1505678301973
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505678330322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678367793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678370186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678371886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678374616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678376686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678378203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505678507404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679625960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505679706808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679739048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679759740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679761048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679765586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679767475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679787419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679789490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679806190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679808610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679822282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679824669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505679881086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1505680029438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680037575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680055487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680131427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680329637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680331156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1505680405838
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680408255
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680408601
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680408664
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680408711
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680411754
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680440505
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680440661
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680440683
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680460460
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680580354
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680580502
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680580520
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680582769
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680582788
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680584284
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680584300
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680593512
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680600292
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680600375
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1505680600416
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1505680602281
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506958848202
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506958848222
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1506958848361
error,log,,,"Unhandled event loop exception",1506958848971
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506958849930
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506958849931
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1506958856886
